,Palabra,Número
93,a,131
78,o,88
112,n,73
43,s,71
122,l,61
35,de,27
91,En,21
134,en,21
74,la,18
62,os,17
129,lo,15
110,as,14
64,que,13
58,los,11
54,an,11
11,y,10
108,un,10
106,no,9
26,el,8
132,El,8
130,con,6
51,se,6
96,su,5
125,ha,4
107,mÃ,4
9,Una,4
22,algo,4
94,una,4
41,esto,3
28,sÃ,3
84,las,3
65,tres,2
8,tenÃ,2
133,dÃ,2
68,TenÃ,2
87,ama,2
88,nuestro,2
101,aÃ,2
113,por,2
6,nombre,2
48,hidalgo,2
120,rocÃ,2
14,era,2
10,Quijana,1
81,lugar,1
66,veinte,1
82,llegaba,1
42,corredor,1
39,tomaba,1
2,pantuflos,1
3,caza,1
4,decir,1
5,acordarme,1
7,algÃºn,1
13,hacienda,1
12,pasaba,1
15,velarte,1
16,Quijada,1
17,lanza,1
18,lantejas,1
19,casa,1
40,basta,1
20,antigua,1
23,amigo,1
24,deja,1
25,partes,1
79,Quieren,1
80,salga,1
50,fiestas,1
77,narraciÃ³n,1
76,campo,1
45,salpicÃ³n,1
46,hay,1
47,flaco,1
49,Pero,1
29,cincuenta,1
52,entresemana,1
53,rocÃ³n,1
55,galgo,1
56,edad,1
57,fino,1
59,entender,1
60,deste,1
61,importa,1
44,della,1
63,concluÃ,1
67,bados,1
69,palomino,1
70,sobrina,1
71,tiempo,1
72,miles,1
73,olla,1
1,poco,1
75,aunque,1
27,gran,1
126,recia,1
30,viernes,1
31,carnero,1
140,ensillaba,1
141,alguna,1
142,podadera,1
143,carnes,1
144,complexiÃ³n,1
145,vaca,1
146,enjuto,1
135,duelos,1
109,escriben,1
116,consumÃ,1
102,quiero,1
98,astillero,1
99,sayo,1
95,mozo,1
100,cuyo,1
92,punto,1
90,cuento,1
103,plaza,1
104,como,1
97,mesmo,1
86,velludo,1
105,adidura,1
89,seco,1
139,verdad,1
138,llamaba,1
137,resto,1
114,verosÃ,1
32,autores,1
33,noches,1
34,honraba,1
36,mucho,1
37,Quesada,1
38,rostro,1
21,para,1
83,adarga,1
0,conjeturas,1
85,vellorÃ,1
115,quebrantos,1
136,caso,1
117,Mancha,1
118,madrugador,1
119,vivÃ,1
121,diferencia,1
123,sobrenombre,1
124,domingos,1
127,sus,1
128,Frisaba,1
111,asÃ,1
131,cuarenta,1
147,calzas,1
