estado,registros,distritos
Gujarat,54,9
Maharashtra,50,8
Delhi,33,9
MAHARASHTRA,32,5
Uttar Pradesh,31,9
Kerala,30,6
UTTAR PRADESH,26,5
Tamil Nadu,23,9
KERALA,20,6
Madhya Pradesh,19,3
DELHI,18,4
TAMIL NADU,18,2
Telangana,17,4
Andman & Nicobar Islands,15,2
Karnataka,13,3
Rajasthan,10,3
Punjab,9,4
TELANGANA,8,3
MADHYA PRADESH,8,3
Chandigarh,8,1
WEST BENGAL,7,3
CHANDIGARH,7,1
Haryana,6,2
Bihar,6,4
Andhra Pradesh,6,4
ANDHRA PRADESH,5,3
West Bengal,5,4
GUJARAT,4,2
Jammu & Kashmir,4,1
HARYANA,3,2
Uttarakhand,3,1
KARNATAKA,2,2
Ladakh,2,1
CHHATTISGARH,1,1
Odisha,1,1
RAJASTHAN,1,1
Chhattisgarh,1,1
Mizoram,1,1
PUNJAB,1,1
BIHAR,1,1
JAMMU AND KASHMIR,1,1
