COUNT,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,OID,area_km2
1,14,Jalisco,001,Acatic,518,336.2344666591576
1,14,Jalisco,002,Acatlán de Juárez,519,152.0188933302837
1,14,Jalisco,003,Ahualulco de Mercado,520,271.7184265893123
1,14,Jalisco,004,Amacueca,521,124.28194161690992
1,14,Jalisco,005,Amatitán,522,172.09885734426973
1,14,Jalisco,006,Ameca,523,831.2429587455996
1,14,Jalisco,007,Antonio Escobedo,524,192.76635761264995
1,14,Jalisco,008,Arandas,525,1140.4421095785565
1,14,Jalisco,009,Arenal,526,103.08371170506987
1,14,Jalisco,010,Atemajac de Brizuela,527,355.3203245293539
1,14,Jalisco,011,Atengo,528,437.5634008373263
1,14,Jalisco,012,Atenguillo,529,605.9246465241798
1,14,Jalisco,013,Atotonilco el Alto,530,506.68972002066175
1,14,Jalisco,014,Atoyac,531,447.8752671880476
1,14,Jalisco,015,Autlán de Navarro,532,701.1792489702618
1,14,Jalisco,016,Ayotlán,533,427.6353227039031
1,14,Jalisco,017,Ayutla,534,877.2521653483237
1,14,Jalisco,018,"Barca, La",535,414.85927878980687
1,14,Jalisco,019,Bolaños,536,857.8961815230427
1,14,Jalisco,020,Cabo Corrientes,537,1528.3027468041673
1,14,Jalisco,021,Casimiro Castillo,538,519.1438327980003
1,14,Jalisco,022,Cihuatlán,539,493.87622912279653
1,14,Jalisco,023,Ciudad Guzmán,540,272.3207476439487
1,14,Jalisco,024,Cocula,541,328.29243255075
1,14,Jalisco,025,Colotlán,542,635.8961809819118
1,14,Jalisco,026,Concepción de Buenos Aires,543,263.5167979157618
1,14,Jalisco,027,Cuautitlán de García Barragán,544,1385.8954394502966
1,14,Jalisco,028,Cuautla,545,413.9921845510532
1,14,Jalisco,029,Cuquío,546,636.7154888805384
1,14,Jalisco,030,Chapala,547,623.1521942683054
1,14,Jalisco,031,Chimaltitán,548,649.6613177354419
1,14,Jalisco,032,Chiquilistlán,549,293.03889438553284
1,14,Jalisco,033,Degollado,550,421.5269090665664
1,14,Jalisco,034,Ejutla,551,295.2526506738313
1,14,Jalisco,035,Encarnación de Díaz,552,1240.8382509491253
1,14,Jalisco,036,Etzatlán,553,335.04707505531616
1,14,Jalisco,037,"Grullo, El",554,175.97552328673297
1,14,Jalisco,038,Guachinango,555,831.7176683767532
1,14,Jalisco,039,Guadalajara,556,149.94221456054564
1,14,Jalisco,040,Hostotipaquillo,557,748.917659681547
1,14,Jalisco,041,Huejúcar,558,305.65166765352143
1,14,Jalisco,042,Huejuquilla el Alto,559,762.0944887907191
28,14,Jalisco,043,"Huerta, La",560,2000.9069657815905
1,14,Jalisco,044,Ixtlahuacán de los Membrillos,561,210.3133567597321
1,14,Jalisco,045,Ixtlahuacán del Río,562,823.7161733328124
1,14,Jalisco,046,Jalostotitlán,563,515.0802962380351
1,14,Jalisco,047,Jamay,564,161.49436520775714
1,14,Jalisco,048,Jesús María,565,659.5446599336832
1,14,Jalisco,049,Jilotlán de los Dolores,566,1466.6779137160854
1,14,Jalisco,050,Jocotepec,567,323.4826452041125
1,14,Jalisco,051,Juanacatlán,568,137.18366455765226
1,14,Jalisco,052,Juchitlán,569,244.57894420352218
1,14,Jalisco,053,Lagos de Moreno,570,2491.2189342429906
1,14,Jalisco,054,"Limón, El",571,113.49531459006684
1,14,Jalisco,055,Magdalena,572,290.6045045372116
1,14,Jalisco,056,Manuel M. Diéguez,573,770.159395861215
1,14,Jalisco,057,"Manzanilla de la Paz, La",574,133.69263246210267
1,14,Jalisco,058,Mascota,575,1828.7228769154365
1,14,Jalisco,059,Mazamitla,576,286.802264295609
1,14,Jalisco,060,Mexticacán,577,284.80598767833254
1,14,Jalisco,061,Mezquitic,578,3331.3326809922064
1,14,Jalisco,062,Mixtlán,579,624.9523472346494
1,14,Jalisco,063,Ocotlán,580,240.4988078186345
1,14,Jalisco,064,Ojuelos de Jalisco,581,1144.441036817892
1,14,Jalisco,065,Pihuamo,582,870.7633927255664
1,14,Jalisco,066,Poncitlán,583,829.2247233368291
2,14,Jalisco,067,Puerto Vallarta,584,674.5533128341399
1,14,Jalisco,068,Villa Purificación,585,1835.956563726235
1,14,Jalisco,069,Quitupan,586,671.844122494806
1,14,Jalisco,070,"Salto, El",587,87.02193128211752
1,14,Jalisco,071,San Cristóbal de la Barranca,588,516.6913458174978
1,14,Jalisco,072,San Diego de Alejandría,589,349.2829473242357
1,14,Jalisco,073,San Juan de los Lagos,590,839.6235570323582
1,14,Jalisco,074,San Julián,591,259.7010166105691
1,14,Jalisco,075,San Marcos,592,303.2361116352546
1,14,Jalisco,076,San Martín de Bolaños,593,683.8838634112492
1,14,Jalisco,077,San Martín Hidalgo,594,340.88622328597086
1,14,Jalisco,078,San Miguel el Alto,595,779.9151972923285
1,14,Jalisco,079,Gómez Farías,596,351.1961398837907
